Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Link;Características;Nota Comentário;Data Comentário;Comentário
190;2;Bebês;MLB19137587;Fralda Descartável Huggies Máxima Proteção Tamanho Xxg 140 Unidades Nova Supreme Care Fralda Aberta Com Tecnologia Xtra-flex, Canais Em X Que Se Adaptam Aos Movimentos E Máxima Proteção;219,00;4,9;19700;https://www.mercadolivre.com.br/fralda-descartavel-huggies-maxima-proteco-tamanho-xxg-140-unidades-nova-supreme-care-fralda-aberta-com-tecnologia-xtra-flex-canais-em-x-que-se-adaptam-aos-movimentos-e-maxima-proteco/p/MLB19137587;N/A;5;07/05/2023;E perfeito ,não vasa,sua duração e longa e prolongada.
190;2;Bebês;MLB19137587;Fralda Descartável Huggies Máxima Proteção Tamanho Xxg 140 Unidades Nova Supreme Care Fralda Aberta Com Tecnologia Xtra-flex, Canais Em X Que Se Adaptam Aos Movimentos E Máxima Proteção;219,00;4,9;19700;https://www.mercadolivre.com.br/fralda-descartavel-huggies-maxima-proteco-tamanho-xxg-140-unidades-nova-supreme-care-fralda-aberta-com-tecnologia-xtra-flex-canais-em-x-que-se-adaptam-aos-movimentos-e-maxima-proteco/p/MLB19137587;N/A;5;07/05/2023;Já uso essa fralda e é ótima, gosto muito, pra me é a melhor.
190;2;Bebês;MLB19137587;Fralda Descartável Huggies Máxima Proteção Tamanho Xxg 140 Unidades Nova Supreme Care Fralda Aberta Com Tecnologia Xtra-flex, Canais Em X Que Se Adaptam Aos Movimentos E Máxima Proteção;219,00;4,9;19700;https://www.mercadolivre.com.br/fralda-descartavel-huggies-maxima-proteco-tamanho-xxg-140-unidades-nova-supreme-care-fralda-aberta-com-tecnologia-xtra-flex-canais-em-x-que-se-adaptam-aos-movimentos-e-maxima-proteco/p/MLB19137587;N/A;5;03/04/2024;"Muito bom,eu amooo essa hugiies supreme care ,a melhor de todas!!!.
Flexível, ajuste confortável e flexível, não vaza,não rasga, não transferi pra roupa. A melhor que existe !!! super recomendo. Muito boa pra usar qualquer hora no seu bebê, mas eu vou usar mais a noite pois é a hora que ele mais dorme ,então não dá pra ficar trocando frauda. Por ser tão boa,ela já é mais carinha no preço, então como não temos condições de compra pra usar dia e noite ,vou optar por usar uma mais em conta durante o dia ,e essa melhor ,durante a noite!."
190;2;Bebês;MLB19137587;Fralda Descartável Huggies Máxima Proteção Tamanho Xxg 140 Unidades Nova Supreme Care Fralda Aberta Com Tecnologia Xtra-flex, Canais Em X Que Se Adaptam Aos Movimentos E Máxima Proteção;219,00;4,9;19700;https://www.mercadolivre.com.br/fralda-descartavel-huggies-maxima-proteco-tamanho-xxg-140-unidades-nova-supreme-care-fralda-aberta-com-tecnologia-xtra-flex-canais-em-x-que-se-adaptam-aos-movimentos-e-maxima-proteco/p/MLB19137587;N/A;5;16/09/2023;Suporta 9 a 12 kg.
191;3;Bebês;MLB44564329;Presente Natura Tododia Sabonetes Em Barra Sortidos 5un 90g;26,59;4,9;17770;https://www.mercadolivre.com.br/presente-natura-tododia-sabonetes-em-barra-sortidos-5un-90g/p/MLB44564329;N/A;5;02/09/2025;Muito bom. Comprei novamente e a caixa veio aberta de novo, mas observei que se eu não der 5 estrelas e fizer um comentário ruim, o produto não aparece mais em promoção pra mim. Quando entra na promoção e eu clico, volta ao preço normal. Pra conseguir comprar novamente na promoção tive que voltar e editar minha opinião. Isso não deveria acontecer.
191;3;Bebês;MLB44564329;Presente Natura Tododia Sabonetes Em Barra Sortidos 5un 90g;26,59;4,9;17770;https://www.mercadolivre.com.br/presente-natura-tododia-sabonetes-em-barra-sortidos-5un-90g/p/MLB44564329;N/A;5;29/08/2025;Gente a caixa veio todo amassada,molenga parece que vinheram chutando pelo caminho até o local da minha casa.
191;3;Bebês;MLB44564329;Presente Natura Tododia Sabonetes Em Barra Sortidos 5un 90g;26,59;4,9;17770;https://www.mercadolivre.com.br/presente-natura-tododia-sabonetes-em-barra-sortidos-5un-90g/p/MLB44564329;N/A;4;21/08/2025;Os sabonetes são super cheirosos, era para presente, mas a caixa veio detonada. Vou ter que ficar com eles para mim.
191;3;Bebês;MLB44564329;Presente Natura Tododia Sabonetes Em Barra Sortidos 5un 90g;26,59;4,9;17770;https://www.mercadolivre.com.br/presente-natura-tododia-sabonetes-em-barra-sortidos-5un-90g/p/MLB44564329;N/A;4;04/05/2025;Pena que diminuíram o tamanho da barra de sabonete.
191;3;Bebês;MLB44564329;Presente Natura Tododia Sabonetes Em Barra Sortidos 5un 90g;26,59;4,9;17770;https://www.mercadolivre.com.br/presente-natura-tododia-sabonetes-em-barra-sortidos-5un-90g/p/MLB44564329;N/A;5;07/07/2025;"Os sabonetes são ótimos.
São muito cheirosos."
192;4;Bebês;MLB14682440;Luvas Descartáveis Antiderrapantes Talge Cor Preto Tamanho P De Nitrilo Em Kit De 10 X 100 Unidades;217,00;4,8;21874;https://www.mercadolivre.com.br/luvas-descartaveis-antiderrapantes-talge-cor-preto-tamanho-p-de-nitrilo-em-kit-de-10-x-100-unidades/p/MLB14682440;N/A;5;30/07/2023;"Gostei do produto.
Uma dica: para quem está acostumado com luva de látex, e vai comprar nitrílica, aconselho a comprar um tamanho maior do que utiliza em látex (por o látex possuir a propriedade elástica maior que o nitrilo. ).
Bem resistente e bonita. A partir de agora só irei utilizar luvas nitrílicas (tatuador)."
192;4;Bebês;MLB14682440;Luvas Descartáveis Antiderrapantes Talge Cor Preto Tamanho P De Nitrilo Em Kit De 10 X 100 Unidades;217,00;4,8;21874;https://www.mercadolivre.com.br/luvas-descartaveis-antiderrapantes-talge-cor-preto-tamanho-p-de-nitrilo-em-kit-de-10-x-100-unidades/p/MLB14682440;N/A;5;24/08/2023;Qualidade ótima! veio certinho. Fiquei com medo de vim rosa pink mas veio a rosa claro que eu queria ☺️ ainda não usei no dia a dia mas aparentemente qualidade muito boa, veio tamanho certo e não tem pó que é uma preferência minha.
192;4;Bebês;MLB14682440;Luvas Descartáveis Antiderrapantes Talge Cor Preto Tamanho P De Nitrilo Em Kit De 10 X 100 Unidades;217,00;4,8;21874;https://www.mercadolivre.com.br/luvas-descartaveis-antiderrapantes-talge-cor-preto-tamanho-p-de-nitrilo-em-kit-de-10-x-100-unidades/p/MLB14682440;N/A;5;07/06/2023;Adorei as luvas, coube perfeitamente nas minhas mãos é extremamente confortável para realizar os procedimentos!!! super indico e com certeza irei comprar dela mais vezes. Nota dez.
192;4;Bebês;MLB14682440;Luvas Descartáveis Antiderrapantes Talge Cor Preto Tamanho P De Nitrilo Em Kit De 10 X 100 Unidades;217,00;4,8;21874;https://www.mercadolivre.com.br/luvas-descartaveis-antiderrapantes-talge-cor-preto-tamanho-p-de-nitrilo-em-kit-de-10-x-100-unidades/p/MLB14682440;N/A;5;28/04/2024;Rapaz o cara que conseguiu rasgar essa luva estava lavando pedra. Lavei todo carro. Caixa de roda. Com as mãos. Usei impact vonix. Prizm. É altamente resistente. Agora não ache que é uma luva de pedreiro né.
192;4;Bebês;MLB14682440;Luvas Descartáveis Antiderrapantes Talge Cor Preto Tamanho P De Nitrilo Em Kit De 10 X 100 Unidades;217,00;4,8;21874;https://www.mercadolivre.com.br/luvas-descartaveis-antiderrapantes-talge-cor-preto-tamanho-p-de-nitrilo-em-kit-de-10-x-100-unidades/p/MLB14682440;N/A;5;19/05/2022;No começo fiquei na duvida devido aos comentarios negativos porém realizei a compra mesmo assim e fiquei muito satisfeito, achei a qualidade excelente!! 19/05/2022.
193;5;Bebês;MLB17336057;Fraldas Pampers Recém-nascido Tamanho Rn+ 36 Unidades;58,80;4,9;21981;https://www.mercadolivre.com.br/fraldas-pampers-recem-nascido-tamanho-rn-36-unidades/p/MLB17336057;N/A;5;24/07/2021;"Obrigada pela dedicação e conforto do produto, até espaço p/ o umbigo tem e c/ um cheirinho delicioso, realmente dá pra vê q foi feito c/ carinho d mãe e pai q pensam no conforto d seus babys ;-).
#gratidão ??."
193;5;Bebês;MLB17336057;Fraldas Pampers Recém-nascido Tamanho Rn+ 36 Unidades;58,80;4,9;21981;https://www.mercadolivre.com.br/fraldas-pampers-recem-nascido-tamanho-rn-36-unidades/p/MLB17336057;N/A;5;04/01/2022;"Estou avaliando com 5 estrelas porque só compro fraldas da pampers e de preferência da premium care, mas todas são para dar de presente para as mamães da família em seus ""chá de bebes"", mas tenho certeza que essas fraldas são maravilhosas."
193;5;Bebês;MLB17336057;Fraldas Pampers Recém-nascido Tamanho Rn+ 36 Unidades;58,80;4,9;21981;https://www.mercadolivre.com.br/fraldas-pampers-recem-nascido-tamanho-rn-36-unidades/p/MLB17336057;N/A;5;16/08/2023;Sem texto
193;5;Bebês;MLB17336057;Fraldas Pampers Recém-nascido Tamanho Rn+ 36 Unidades;58,80;4,9;21981;https://www.mercadolivre.com.br/fraldas-pampers-recem-nascido-tamanho-rn-36-unidades/p/MLB17336057;N/A;4;30/07/2021;A fralda é excelente, amei e pretendo voltar a comprar novamente em breve.
193;5;Bebês;MLB17336057;Fraldas Pampers Recém-nascido Tamanho Rn+ 36 Unidades;58,80;4,9;21981;https://www.mercadolivre.com.br/fraldas-pampers-recem-nascido-tamanho-rn-36-unidades/p/MLB17336057;N/A;5;09/08/2023;"Comprei dois pacotes logo.
Recomendo de matagais.
Muito bem embalando.
E o cheirinho que invadiu a casa.
Ameeeeeii."
194;6;Bebês;MLB19792679;Creatina Turbo Refil 1kg Black Skull Sem Sabor;63,21;4,7;114832;https://www.mercadolivre.com.br/creatina-turbo-refil-1kg-black-skull/p/MLB19792679;N/A;4;02/04/2022;"Comparado a outras marcas, o sabor é levemente salgado, mas bem de leve mesmo, mas tomando com whey não se percebe. Outro detalhe no preço que é bem barato, mas outras marcas você toma 3g de produto e tem 3g de creatina. Aqui tem que tomar 6g de produto pra ter as mesmas 3g de creatina, tem que fazer conta pra ver se está valendo o preço, já que os outros 3g são carboidratos, que pode se conseguir bem mais barato e fácil em diversas outras fontes (banana, batata, maltodextrina. ).
No demais eu gosto dele pois sempre encontra preço bom e é uma marca confiável."
194;6;Bebês;MLB19792679;Creatina Turbo Refil 1kg Black Skull Sem Sabor;63,21;4,7;114832;https://www.mercadolivre.com.br/creatina-turbo-refil-1kg-black-skull/p/MLB19792679;N/A;5;12/06/2023;Eu adoro essa creatina, uso há 2 anos e vejo resultados (além do ótimo custo benefício).
194;6;Bebês;MLB19792679;Creatina Turbo Refil 1kg Black Skull Sem Sabor;63,21;4,7;114832;https://www.mercadolivre.com.br/creatina-turbo-refil-1kg-black-skull/p/MLB19792679;N/A;5;02/10/2023;Produto original! eu adoro, uso como recomendado pela minha nutri. O sabor de uva é gostosinho, parece suco kkkk.
194;6;Bebês;MLB19792679;Creatina Turbo Refil 1kg Black Skull Sem Sabor;63,21;4,7;114832;https://www.mercadolivre.com.br/creatina-turbo-refil-1kg-black-skull/p/MLB19792679;N/A;5;25/05/2023;Qualidade! quer uma creatina com garantia de pureza? essa aí, pode comprar tranquilo!.
194;6;Bebês;MLB19792679;Creatina Turbo Refil 1kg Black Skull Sem Sabor;63,21;4,7;114832;https://www.mercadolivre.com.br/creatina-turbo-refil-1kg-black-skull/p/MLB19792679;N/A;5;12/05/2024;"Veio lacrada, tudo certinho! é creatina mesmo pessoal, comprem sem medo!.
E pessoal, vi uma galera falando que não veio o scoop, mas chacoalha a creatina que vcs vão achar 😂🙏🏻."
195;7;Bebês;MLB19543873;Fralda Pampers Pants Premium Care Xxg 60 Unidades;185,90;4,9;6741;https://www.mercadolivre.com.br/fralda-pampers-pants-premium-care-xxg-60-unidades/p/MLB19543873;N/A;5;28/02/2025;Ostentação para uma mãe é poder comprar uma fralda boa com filho sabe na minha outra gestação nunca tive condição para comprar uma fralda para o meu filho e nessa deus também abençoando e eu tô comprando sabe só tenho que agradecer.
195;7;Bebês;MLB19543873;Fralda Pampers Pants Premium Care Xxg 60 Unidades;185,90;4,9;6741;https://www.mercadolivre.com.br/fralda-pampers-pants-premium-care-xxg-60-unidades/p/MLB19543873;N/A;5;17/11/2024;Melhor fralda que já usei , além de não apertar o bebê ela não dá saco quando está cheia !.
195;7;Bebês;MLB19543873;Fralda Pampers Pants Premium Care Xxg 60 Unidades;185,90;4,9;6741;https://www.mercadolivre.com.br/fralda-pampers-pants-premium-care-xxg-60-unidades/p/MLB19543873;N/A;5;15/12/2023;Sem texto
195;7;Bebês;MLB19543873;Fralda Pampers Pants Premium Care Xxg 60 Unidades;185,90;4,9;6741;https://www.mercadolivre.com.br/fralda-pampers-pants-premium-care-xxg-60-unidades/p/MLB19543873;N/A;5;21/11/2023;"Ótima fralda.
Ganhou meu ❤️."
195;7;Bebês;MLB19543873;Fralda Pampers Pants Premium Care Xxg 60 Unidades;185,90;4,9;6741;https://www.mercadolivre.com.br/fralda-pampers-pants-premium-care-xxg-60-unidades/p/MLB19543873;N/A;5;30/06/2020;Pra mi a frauda e maravilhosa a única que suporta o fluxo que a minha filha tem.
196;8;Bebês;MLB18715393;Fraldas Pom Pom Protek M X 28 Unidades;34,40;4,9;17379;https://www.mercadolivre.com.br/fraldas-pom-pom-protek-m-x-28-unidades/p/MLB18715393;N/A;5;13/11/2022;"Essa fralda é excelente e considerando o valor dela, nossa mais sensacional ainda. Ela não vaza, dura uma noite todinha na minha filha, o velcro dela tem elasticidade que permite mais conforto para a criança se mover sem ""segurar"" a perninha. Eu amo, podem comprar sem nenhum medo!."
196;8;Bebês;MLB18715393;Fraldas Pom Pom Protek M X 28 Unidades;34,40;4,9;17379;https://www.mercadolivre.com.br/fraldas-pom-pom-protek-m-x-28-unidades/p/MLB18715393;N/A;5;06/12/2022;"Prezados, boa tarde!.
Finalmente a fraldinha está mais fina com a mesma qualidade e não apresentou defeito de fabricação, estou feliz que segurou bem e não vazou ainda. Espero que a pompom continue ouvindo as mamães e os papais para atender melhor seu público.
Sem mais nada."
196;8;Bebês;MLB18715393;Fraldas Pom Pom Protek M X 28 Unidades;34,40;4,9;17379;https://www.mercadolivre.com.br/fraldas-pom-pom-protek-m-x-28-unidades/p/MLB18715393;N/A;5;20/11/2023;"Excelente! comprei para o meu filho usar na hora de dormir, segura bem o xixi, meu filho já está usando há 1 mês e até agora nada de vazamentos. Eu recomendo.
13/02/2024 - comprei essa fralda ano passado, essa fralda era perfeita, tinha abas frontais, agora não tem mais."
196;8;Bebês;MLB18715393;Fraldas Pom Pom Protek M X 28 Unidades;34,40;4,9;17379;https://www.mercadolivre.com.br/fraldas-pom-pom-protek-m-x-28-unidades/p/MLB18715393;N/A;5;22/05/2024;Mto boa, mto parecida com a pamperns do pacote vermelho, eh o mesmo material, macio e absorve mto bem, mais o diferencial dessa fralda são as orelhas q esticam pra ajustar no corpinho do bebê. Achei ótima, e mais em conta q a da pamperns gente.
196;8;Bebês;MLB18715393;Fraldas Pom Pom Protek M X 28 Unidades;34,40;4,9;17379;https://www.mercadolivre.com.br/fraldas-pom-pom-protek-m-x-28-unidades/p/MLB18715393;N/A;5;25/11/2024;Eu botei ao lado dela a fralda da huggies (tripla proteção) do tam xg tb, e ela é realmente um pouco menor q o tam padrão, mas nada q atrapalhe, só comprar o tam indicado p seu bb. Ela tem um cheirinho de talco 😊 além disso, tb estica e apesar de ser fina, realmente cumpre o q promete. Tô apaixonada por essa fralda, ela simplesmente segura muito bem o xixi, não deixa o bb molhado, não incha a ponto de ficar caída no bb e até suga a maior parte do líquido do cocô do bb, como mostra nas fotos. Meu bb fez e ela simplesmente sugou 😲 uma verdadeira ajuda contra os cocôs bomba kkk agr só vou comprar dela.
197;9;Bebês;MLB17335899;Fraldas Descartáveis Supersec Com 22 Unidades Tamanho Xg Pampers;46,41;4,8;23118;https://www.mercadolivre.com.br/fraldas-descartaveis-supersec-com-22-unidades-tamanho-xg-pampers/p/MLB17335899;N/A;5;22/10/2023;"Comprarmos, porém ficamos com algumas dúvidas, pois nós comentários estava bem divido, uns falando bem e outros mal.
No meu caso, eu gostei, serviu bem no meu filho, a durabilidade é boa. Ficou a noite toda, e não vazou, porém isso é uma coisa que acho que os pais tem que ter consciência que pode várias de crianças, tem crianças que fazem mais xixi a noite, e outras não, um dos meus filhos mesmo, já aconteceu de as vezes ele fazer xixi só de manhã, e faz bastante. Se tiver promoção novamente irei comprar sem medo agora. Fraldas são muitos boas."
197;9;Bebês;MLB17335899;Fraldas Descartáveis Supersec Com 22 Unidades Tamanho Xg Pampers;46,41;4,8;23118;https://www.mercadolivre.com.br/fraldas-descartaveis-supersec-com-22-unidades-tamanho-xg-pampers/p/MLB17335899;N/A;4;07/03/2024;"A fralda simples e boa, tem ótima absorção, mas tem seus poréns. 1° não tem abas frontais 2° fecho não é elástica 3° tem um excesso de volume entre as pernas 4° o fecho tem formato de um triângulo, e para bebês como pernas grossas, esse fecho acaba machucando devido o atrito. Eu cortava um pouco desse fecho deixando-o menor. >>> resumindo: o ajuste/caimento é ruim.
***adorei essa fralda quando meu filho ainda não engatinhava. Ele ficava mais deitado, então ela distribuía melhor o xixi na fralda, ele dormia com essa fralda e nunca houve vazamentos noturnos. Porém, quando ele começou a engatinhar e andar escorando pelas paredes e móveis, ela começava a empelotar mesmo sem ter urinado***.
Recomendo para trocas rápidas de no máximo 5 horas caso seu bebê já engatinhe ou ande, e para o desfralde."
197;9;Bebês;MLB17335899;Fraldas Descartáveis Supersec Com 22 Unidades Tamanho Xg Pampers;46,41;4,8;23118;https://www.mercadolivre.com.br/fraldas-descartaveis-supersec-com-22-unidades-tamanho-xg-pampers/p/MLB17335899;N/A;5;18/08/2021;Muito bom essa fralda muito ótimo amei.
197;9;Bebês;MLB17335899;Fraldas Descartáveis Supersec Com 22 Unidades Tamanho Xg Pampers;46,41;4,8;23118;https://www.mercadolivre.com.br/fraldas-descartaveis-supersec-com-22-unidades-tamanho-xg-pampers/p/MLB17335899;N/A;5;10/07/2023;Sempre compro pampers e gosto muito, não é grossa, o bumbum parece não ter frauda.
197;9;Bebês;MLB17335899;Fraldas Descartáveis Supersec Com 22 Unidades Tamanho Xg Pampers;46,41;4,8;23118;https://www.mercadolivre.com.br/fraldas-descartaveis-supersec-com-22-unidades-tamanho-xg-pampers/p/MLB17335899;N/A;5;14/05/2023;Super recomendo, apesar do vencimento ser pra o mes 10 porem daqui ate la minha bb ja tem usado todas, amo essa marca.
198;10;Bebês;MLB36385668;Kit Alimentação Bebê Infantil Refeição Silicone Cores Cor Rosa-claro;45,49;4,8;6928;https://www.mercadolivre.com.br/kit-alimentaco-beb-infantil-refeico-silicone-cores-cor-rosa-claro/p/MLB36385668;N/A;5;26/12/2024;Eu gostei, veio completo! tudo em silicone, a minha neném está começando agora a introdução alimentar, mas deixo ela pegando as coisas, ainda bem que ele prende na mesinha, porque ela fica tentando jogar o prato no chão!.
198;10;Bebês;MLB36385668;Kit Alimentação Bebê Infantil Refeição Silicone Cores Cor Rosa-claro;45,49;4,8;6928;https://www.mercadolivre.com.br/kit-alimentaco-beb-infantil-refeico-silicone-cores-cor-rosa-claro/p/MLB36385668;N/A;5;14/03/2024;Muito lindo e muita qualidade, estou satisfeita.
198;10;Bebês;MLB36385668;Kit Alimentação Bebê Infantil Refeição Silicone Cores Cor Rosa-claro;45,49;4,8;6928;https://www.mercadolivre.com.br/kit-alimentaco-beb-infantil-refeico-silicone-cores-cor-rosa-claro/p/MLB36385668;N/A;5;20/05/2025;Amei, muito lindo e material ótimo.
198;10;Bebês;MLB36385668;Kit Alimentação Bebê Infantil Refeição Silicone Cores Cor Rosa-claro;45,49;4,8;6928;https://www.mercadolivre.com.br/kit-alimentaco-beb-infantil-refeico-silicone-cores-cor-rosa-claro/p/MLB36385668;N/A;5;15/10/2024;Sem texto
198;10;Bebês;MLB36385668;Kit Alimentação Bebê Infantil Refeição Silicone Cores Cor Rosa-claro;45,49;4,8;6928;https://www.mercadolivre.com.br/kit-alimentaco-beb-infantil-refeico-silicone-cores-cor-rosa-claro/p/MLB36385668;N/A;5;03/02/2025;As peças são lindas a cor vibrante material de qualidade, só tenho um ponto negativo enque a tigela não gruda a ventosa não funciona já do prato funcionou. Veio do jeito que eu queria amei.
199;11;Bebês;MLB23780927;Grade Portão Preto Proteção Pets 68 A 73 / 78 A 83 Cm Cachorro Aramado 69cm;57,00;4,6;15236;https://www.mercadolivre.com.br/grade-porto-preto-proteco-pets-68-a-73-78-a-83-cm-cachorro-aramado-69cm/p/MLB23780927;N/A;4;21/09/2023;Comprei por causa dos meus filhotes shitszu, e não resolveu muito coisa não kkk, pq eles passam pela grade , tive q fazer uma adaptação , e eles escalam o portão kkk , são demais. Mas o portão é bom , para mim teria q ser um pouco mais fechado e alto, acredito q outro modelo.
199;11;Bebês;MLB23780927;Grade Portão Preto Proteção Pets 68 A 73 / 78 A 83 Cm Cachorro Aramado 69cm;57,00;4,6;15236;https://www.mercadolivre.com.br/grade-porto-preto-proteco-pets-68-a-73-78-a-83-cm-cachorro-aramado-69cm/p/MLB23780927;N/A;5;20/05/2024;Não percebi o tamanho da altura qdo comprei, mais como meu husky não costuma pular as coisas não tive problema nenhum, é de boa qualidade e fácil instalação, como é apenas para separar ele das visitas foi ótimo, pois ele fica quietinho olhando toda a movimentação.
199;11;Bebês;MLB23780927;Grade Portão Preto Proteção Pets 68 A 73 / 78 A 83 Cm Cachorro Aramado 69cm;57,00;4,6;15236;https://www.mercadolivre.com.br/grade-porto-preto-proteco-pets-68-a-73-78-a-83-cm-cachorro-aramado-69cm/p/MLB23780927;N/A;4;24/06/2024;Veio faltando uns acabamentos, e provavelmente no transporte amassou, o que dificultou na hora da montagem, mas no final deu tudo certo, só fiquei sem os acabamentos de cima, como na foto.
199;11;Bebês;MLB23780927;Grade Portão Preto Proteção Pets 68 A 73 / 78 A 83 Cm Cachorro Aramado 69cm;57,00;4,6;15236;https://www.mercadolivre.com.br/grade-porto-preto-proteco-pets-68-a-73-78-a-83-cm-cachorro-aramado-69cm/p/MLB23780927;N/A;5;07/06/2025;O produto é bom excelente. Só quem não gostou foram minhas cachorrinhas haha.
199;11;Bebês;MLB23780927;Grade Portão Preto Proteção Pets 68 A 73 / 78 A 83 Cm Cachorro Aramado 69cm;57,00;4,6;15236;https://www.mercadolivre.com.br/grade-porto-preto-proteco-pets-68-a-73-78-a-83-cm-cachorro-aramado-69cm/p/MLB23780927;N/A;5;24/03/2025;O portão é bem menor do que eu imaginava,é bonitinho e a qualidade dele parece ser boa,serviu perfeitamente para o que eu queria, pq minha cachorra é pequena e é só para limitar o acesso dela em casa quando não tem ninguém pq ela é um furacão 🤣🤣🐶❤️.
200;12;Bebês;MLB28537683;Dove Sabonete Em Barra 90g 6 Unidades;26,95;4,9;8280;https://www.mercadolivre.com.br/dove-sabonete-em-barra-90g-6-unidades/p/MLB28537683;N/A;5;20/04/2024;O pacote veio com produtos de limpeza misturado aos alimentos, quando deveriam estar separados ou pelo menos isolados.
200;12;Bebês;MLB28537683;Dove Sabonete Em Barra 90g 6 Unidades;26,95;4,9;8280;https://www.mercadolivre.com.br/dove-sabonete-em-barra-90g-6-unidades/p/MLB28537683;N/A;5;03/12/2020;Amo esse sabonete, em época de pandemia as mãos ficam meias ressecadas e ele é o único que deixa minha mão boa!.
200;12;Bebês;MLB28537683;Dove Sabonete Em Barra 90g 6 Unidades;26,95;4,9;8280;https://www.mercadolivre.com.br/dove-sabonete-em-barra-90g-6-unidades/p/MLB28537683;N/A;5;23/12/2024;Adorei.
200;12;Bebês;MLB28537683;Dove Sabonete Em Barra 90g 6 Unidades;26,95;4,9;8280;https://www.mercadolivre.com.br/dove-sabonete-em-barra-90g-6-unidades/p/MLB28537683;N/A;4;04/06/2020;Muito bom o produto e o preço está bem mais barato que no mercado, até mesmo mais barato que antes do aumento.
200;12;Bebês;MLB28537683;Dove Sabonete Em Barra 90g 6 Unidades;26,95;4,9;8280;https://www.mercadolivre.com.br/dove-sabonete-em-barra-90g-6-unidades/p/MLB28537683;N/A;4;31/01/2021;Uso a mais de 10 anos, eu amo esse sabonete é o único q não resseca minha pele.
201;13;Bebês;MLB19315994;Shampoo Estimulante Tratamento Antiqueda Para Cabelos Fracos E Quebradiços, Fortalece Os Fios Com Aminexil, Niacinamida E Vitamina E, Energy+ Dercos Vichy 400g;121,74;4,8;24457;https://www.mercadolivre.com.br/shampoo-estimulante-tratamento-antiqueda-para-cabelos-fracos-e-quebradicos-fortalece-os-fios-com-aminexil-niacinamida-e-vitamina-e-energy-dercos-vichy-400g/p/MLB19315994;N/A;5;08/11/2023;"É um produto maravilhoso, qualidade vichy! recomendo colocar em um frasco que tenha pump para voce controlar a quantidade que vai usar, 2 pumps são mais que suficientes!.
O produto diminui a queda em 15 dias e em 30 praticamente não se cai mais, apenas ao escovar o cabelo que soltam mais fios, o que é normal.
Para o meu caso fez diferença, unico ponto negativo é que ele resseca um pouco os fios, porem antes os fios ressecados na cabeça do que hidratados e no chão!."
201;13;Bebês;MLB19315994;Shampoo Estimulante Tratamento Antiqueda Para Cabelos Fracos E Quebradiços, Fortalece Os Fios Com Aminexil, Niacinamida E Vitamina E, Energy+ Dercos Vichy 400g;121,74;4,8;24457;https://www.mercadolivre.com.br/shampoo-estimulante-tratamento-antiqueda-para-cabelos-fracos-e-quebradicos-fortalece-os-fios-com-aminexil-niacinamida-e-vitamina-e-energy-dercos-vichy-400g/p/MLB19315994;N/A;5;25/08/2023;"Amei já na primeira lavada senti diferença no toque!.
A cutícula ficou alinhada e o cheiro é muito gostoso!.
Eu comprei sachê e coloquei num frasco já lavado de shampoo do meu bebê!🥰.
Depois do covid19 (2020) nunca mais o meu cabelo parou de cair.
Espero que agora pare! 🙏🏻."
201;13;Bebês;MLB19315994;Shampoo Estimulante Tratamento Antiqueda Para Cabelos Fracos E Quebradiços, Fortalece Os Fios Com Aminexil, Niacinamida E Vitamina E, Energy+ Dercos Vichy 400g;121,74;4,8;24457;https://www.mercadolivre.com.br/shampoo-estimulante-tratamento-antiqueda-para-cabelos-fracos-e-quebradicos-fortalece-os-fios-com-aminexil-niacinamida-e-vitamina-e-energy-dercos-vichy-400g/p/MLB19315994;N/A;5;29/02/2024;Já uso esse produto a muito anos uns trinta. Isso já responde qualquer pergunta.
201;13;Bebês;MLB19315994;Shampoo Estimulante Tratamento Antiqueda Para Cabelos Fracos E Quebradiços, Fortalece Os Fios Com Aminexil, Niacinamida E Vitamina E, Energy+ Dercos Vichy 400g;121,74;4,8;24457;https://www.mercadolivre.com.br/shampoo-estimulante-tratamento-antiqueda-para-cabelos-fracos-e-quebradicos-fortalece-os-fios-com-aminexil-niacinamida-e-vitamina-e-energy-dercos-vichy-400g/p/MLB19315994;N/A;5;24/05/2023;Comprei por indicação por estar passando por tratamento de quimioterapia. Excelente produto!!!.
201;13;Bebês;MLB19315994;Shampoo Estimulante Tratamento Antiqueda Para Cabelos Fracos E Quebradiços, Fortalece Os Fios Com Aminexil, Niacinamida E Vitamina E, Energy+ Dercos Vichy 400g;121,74;4,8;24457;https://www.mercadolivre.com.br/shampoo-estimulante-tratamento-antiqueda-para-cabelos-fracos-e-quebradicos-fortalece-os-fios-com-aminexil-niacinamida-e-vitamina-e-energy-dercos-vichy-400g/p/MLB19315994;N/A;5;04/07/2023;Tenho um sério problema com queda e enfraquecimento de cabelos. Comprei o refil de 200 ml do shampoo, na terceira lavagem não caiu um fino sequer. Recomendo!.
